O2 Saturation
98.6
98.6
98.6
98.6
98.1
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
98.1
98.6
98.6
98.6
98.6
98.6
98.6
98.6
0
0
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97
96.5
96.5
97
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
96.1
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97
96.5
96.5
97.1
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
96.5
97.1
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
97.5
